20,Floor,595,260,86,196,250,250,250
2005,ExaminationRoom,50,100,86,196,119,197,136
2006,AuxiliaryRoom,50,50,136,196,157,164,159
2007,ExaminationRoom,50,100,186,196,119,197,136
2008,ExaminationRoom,50,100,236,196,119,197,136
2009,PatientRoom,50,100,481,196,220,160,211
2010,OperatingRoom,100,100,531,196,32,142,56
2011,PatientRoom,50,100,631,196,220,160,211
2004,ExaminationRoom,50,100,86,356,119,197,136
2003,AuxiliaryRoom,50,50,136,406,157,164,159
2002,ExaminationRoom,50,100,186,356,119,197,136
2001,ExaminationRoom,50,100,236,356,119,197,136
2016,Elevator,50,50,381,406,72,72,72
2015,Elevator,50,50,431,406,72,72,72
2014,PatientRoom,50,100,481,356,220,160,211
2013,OperatingRoom,100,100,531,356,32,142,56
2012,PatientRoom,50,100,631,356,220,160,211
