100001,Floor,595,260,86,196,250,250,250
83,PatientRoom,50,100,86,196,220,160,211
84,AuxiliaryRoom,50,50,136,196,157,164,159
85,PatientRoom,50,100,186,196,220,160,211
86,ExaminationRoom,50,100,236,196,119,197,136
87,StorageRoom,50,50,286,196,157,164,159
88,StorageRoom,50,50,286,246,157,164,159
89,ExaminationRoom,50,100,331,196,119,197,136
90,OperatingRoom,100,100,481,196,32,142,56
91,ExaminationRoom,50,100,581,196,220,160,211
92,ExaminationRoom,50,100,631,196,220,160,211
82,PatientRoom,50,100,86,356,220,160,211
81,AuxiliaryRoom,50,50,136,406,157,164,159
80,PatientRoom,50,100,186,356,220,160,211
93,ExaminationRoom,50,100,236,356,119,197,136
79,AuxiliaryRoom,50,50,286,356,157,164,159
77,AuxiliaryRoom,50,50,286,406,157,164,159
114,Elevator,50,50,381,406,72,72,72
115,Elevator,50,50,431,406,72,72,72
116,OperatingRoom,100,100,481,356,32,142,56
117,PatientRoom,50,100,581,356,220,160,211
1,PatientRoom,50,100,631,356,220,160,211
