100000,Floor,595,260,86,196,250,250,250
96,ExaminationRoom,50,100,86,196,119,197,136
110,AuxiliaryRoom,50,50,136,196,157,164,159
95,ExaminationRoom,50,100,186,196,119,197,136
78,ExaminationRoom,50,100,236,196,119,197,136
65,AuxiliaryRoom,50,50,286,196,157,164,159
66,ExaminationRoom,50,100,331,196,119,197,136
67,ExaminationRoom,50,100,481,196,220,160,211
68,PatientRoom,50,100,531,196,220,160,211
69,PatientRoom,50,100,581,196,220,160,211
70,PatientRoom,50,100,631,196,220,160,211
124,ExaminationRoom,50,100,86,356,119,197,136
123,AuxiliaryRoom,50,50,136,406,157,164,159
122,ExaminationRoom,50,100,186,356,119,197,136
121,AuxiliaryRoom,50,50,236,356,157,164,159
120,AuxiliaryRoom,50,50,236,406,157,164,159
76,Elevator,50,50,381,406,72,72,72
75,Elevator,50,50,431,406,72,72,72
74,ExaminationRoom,50,100,481,356,220,160,211
73,PatientRoom,50,100,531,356,220,160,211
72,PatientRoom,50,100,581,356,220,160,211
71,PatientRoom,50,100,631,356,220,160,211
