100005,Floor,595,260,86,196,250,250,250
3,PatientRoom,50,100,86,196,220,160,211
2,AuxiliaryRoom,50,50,136,196,157,164,159
29,PatientRoom,50,100,186,196,220,160,211
30,PatientRoom,50,100,236,196,220,160,211
31,AuxiliaryRoom,50,50,286,196,157,164,159
32,PatientRoom,50,100,336,196,220,160,211
60,PatientRoom,50,100,481,196,220,160,211
59,PatientRoom,50,100,531,196,220,160,211
58,OperatingRoom,100,100,581,196,32,142,56
4,ExaminationRoom,50,100,86,356,119,197,136
5,StorageRoom,50,50,136,406,157,164,159
6,StorageRoom,50,50,136,356,157,164,159
7,ExaminationRoom,50,100,186,356,119,197,136
8,ExaminationRoom,50,100,236,356,119,197,136
9,StorageRoom,50,50,286,406,157,164,159
10,StorageRoom,50,50,286,356,157,164,159
11,ExaminationRoom,50,100,336,356,119,197,136
53,Elevator,50,50,383,406,72,72,72
54,Elevator,50,50,433,406,72,72,72
55,PatientRoom,50,100,481,356,220,160,211
56,PatientRoom,50,100,531,356,220,160,211
57,OperatingRoom,100,100,581,356,32,142,56
