100003,Floor,595,260,86,196,250,250,250
23,ExaminationRoom,50,100,86,196,119,197,136
22,AuxiliaryRoom,50,50,136,196,157,164,159
21,ExaminationRoom,50,100,186,196,119,197,136
20,ExaminationRoom,50,100,236,196,119,197,136
19,PatientRoom,50,100,481,196,220,160,211
18,OperatingRoom,100,100,531,196,32,142,56
17,PatientRoom,50,100,631,196,220,160,211
24,ExaminationRoom,50,100,86,356,119,197,136
25,AuxiliaryRoom,50,50,136,406,157,164,159
26,ExaminationRoom,50,100,186,356,119,197,136
27,ExaminationRoom,50,100,236,356,119,197,136
12,Elevator,50,50,381,406,72,72,72
13,Elevator,50,50,431,406,72,72,72
14,PatientRoom,50,100,481,356,220,160,211
15,OperatingRoom,100,100,531,356,32,142,56
16,PatientRoom,50,100,631,356,220,160,211
