100005,Floor,595,260,86,196,250,250,250
47,AuxiliaryRoom,50,50,86,196,220,160,211
45,AuxiliaryRoom,50,50,136,196,157,164,159
44,AuxiliaryRoom,50,50,136,246,157,164,159
43,ExaminationRoom,50,100,186,196,119,197,136
42,AuxiliaryRoom,50,50,236,196,157,164,159
41,AuxiliaryRoom,50,50,236,246,157,164,159
40,AuxiliaryRoom,50,50,286,196,157,164,159
39,PatientRoom,50,100,336,196,220,160,211
38,OperatingRoom,100,100,481,196,32,142,56
37,PatientRoom,50,100,581,196,220,160,211
36,PatientRoom,50,100,631,196,220,160,211
61,AuxiliaryRoom,50,50,86,406,157,164,159
48,ExaminationRoom,50,100,136,356,119,197,136
49,ExaminationRoom,50,100,186,356,119,197,136
50,ExaminationRoom,50,100,236,356,119,197,136
51,AuxiliaryRoom,50,50,286,406,157,164,159
52,PatientRoom,50,100,335,356,220,160,211
126,Elevator,50,50,383,406,72,72,72
94,Elevator,50,50,433,406,72,72,72
33,OperatingRoom,100,100,481,356,32,142,56
34,PatientRoom,50,100,581,356,220,160,211
35,PatientRoom,50,100,631,356,220,160,211
